Name,Symbol,ContractAddress,ContractDecimal,TotalSupply,PegOnBC,PegOnBSC
Aave Token,AAVE-8FA,0xfb6115445Bff7b52FeB98650C87f44907E58f802,18,50000000000000,39999999926019,739810000000000
CardanoBEP2,ADA-9F4,0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47,18,37230000000000000,18494600500884078,15054009984447670047010196
AlpacaToken,ALPACA-405,0x8F0528cE5eF7B51152A59745bEfDD91D97091d2F,18,12641791941798031,12641779187591151,127542068800000000000
ANKR,ANKR-E97,0xf307910A4c7bbc79691fD374889b36d8531B08e3,18,1000000000000000000,907694324301441968,923056756985580320230682872
Aeron,ARN-71B,0xBA5F11b16B155792Cf3B2E6880E8706859A8AEB6,18,877285825316010,332075052163,8769537502638470000000000
ATOMBEP2,ATOM-596,0x0Eb3a705fc54725037CC9e008bDede697f62F335,18,112000000000000,99248184343768,7624549278200777866153
Travala.com Token,AVA-645,0x13616F44Ba82D63c8C0DC3Ff843D36a8ec1c05a9,18,457423061496224,262266957403205,58606046425967950000000000
BakeryToken,BAKE-5E0,0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,18,56155462842614181,56068899665016277,1335631775979040040564959
BandProtocolBEP2,BAND-34B,0xAD6cAEb32CD2c308980a548bD0Bc5AA4306c6c18,18,220000000000000,190783185771151,292168142288490006580347
BasicAttentionToken,BAT-07A,0x101d82428437127bF1608F699CD651e6Abf9766E,18,2030000000000000,1482849616227611,10171503837723890000000000
BCH BEP2,BCH-1FD,0x8fF795a6F4D97E7887C79beA79aba5cc76444aDf,18,5500000000000,3590888706067,9091112939330000001116
Bitcoin Cash ABC,BCHA-959,0xD475c9c934DCD6d5f1cAC530585aa5ba14185b92,18,4178700000000,4076780111513,4232356314850000000000
Bitcoin Cash ABC,BCHA-A6A,0xDd3c817354E3855ef2B52D15ad2244793c50385A,18,4500000000000,2249660508000,22503394920000000000000
BellaProtocol,BEL-D85,0x8443f091997f06a61670B735ED92734F5628692F,18,300000000000000,236552411393009,634475886069910000000000
BELT Token,BELT-5A3,0xE0e514c71282b6f4e823703a39374Cf58dc3eA4f,18,361893453491999,361887429493737,60239982620000000000
Binance Beacon ETH,BETH-654,0x250632378E573c6Be1AC2f97Fcdf00515d0Aa91B,18,10000000000000000,9999997640326640,23596733600000000000
BIDR BEP2,BIDR-0E9,0x9A2f5556e9A637e8fBcE886d8e3cf8b316a1D8a2,18,393932357694000000,276426599409040578,87235892784009594220000000000
beefy.finance,BIFI-290,0xCa3F508B8e4Dd382eE878A314789373D80A5190A,18,8000000000000,7985849164285,141508357150000027475
Binance Chain Native Token,BNB,0x0000000000000000000000000000000000000000,18,14893023217301230,4751560180077664,126897794088735930758031309
Bitcoin BEP2,BTCB-1DE,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,18,1380100000000,569877549269,3302224641292427254793
