Name,Symbol,ContractAddress,ContractDecimal,TotalSupply,PegOnBC,PegOnBSC
Aave Token,AAVE-8FA,0xfb6115445Bff7b52FeB98650C87f44907E58f802,18,50000000000000,39999999926019,739810000000000
CardanoBEP2,ADA-9F4,0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47,18,37230000000000000,17625659600608164,23743497840416810047010196
AlpacaToken,ALPACA-405,0x8F0528cE5eF7B51152A59745bEfDD91D97091d2F,18,12641791941798031,12641779187591151,127542068800000000000
ANKR,ANKR-E97,0xf307910A4c7bbc79691fD374889b36d8531B08e3,18,1000000000000000000,907493324251275213,925066757487247870230682872
Aeron,ARN-71B,0xBA5F11b16B155792Cf3B2E6880E8706859A8AEB6,18,877285825316010,292075052163,8769937502638470000000000
ATOMBEP2,ATOM-596,0x0Eb3a705fc54725037CC9e008bDede697f62F335,18,112000000000000,99114504117214,8861351543740777866153
Travala.com Token,AVA-645,0x13616F44Ba82D63c8C0DC3Ff843D36a8ec1c05a9,18,558242685106140,243181215050628,58796903849493720000000000
BakeryToken,BAKE-5E0,0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,18,56155462842614181,56053829223537647,1486336190765340040564959
BandProtocolBEP2,BAND-34B,0xAD6cAEb32CD2c308980a548bD0Bc5AA4306c6c18,18,220000000000000,166204952365566,537950476344340006580347
BasicAttentionToken,BAT-07A,0x101d82428437127bF1608F699CD651e6Abf9766E,18,2030000000000000,1283578529942074,12164214700579260000000000
BCH BEP2,BCH-1FD,0x8fF795a6F4D97E7887C79beA79aba5cc76444aDf,18,5500000000000,3587908606654,9120913933460000001116
Bitcoin Cash ABC,BCHA-959,0xD475c9c934DCD6d5f1cAC530585aa5ba14185b92,18,4178700000000,4076780111513,4232356314850000000000
Bitcoin Cash ABC,BCHA-A6A,0xDd3c817354E3855ef2B52D15ad2244793c50385A,18,4500000000000,2249660508000,22503394920000000000000
BellaProtocol,BEL-D85,0x8443f091997f06a61670B735ED92734F5628692F,18,300000000000000,183560823202061,1164391767979390000000000
BELT Token,BELT-5A3,0xE0e514c71282b6f4e823703a39374Cf58dc3eA4f,18,361893453491999,361887429493737,60239982620000000000
Binance Beacon ETH,BETH-654,0x250632378E573c6Be1AC2f97Fcdf00515d0Aa91B,18,10000000000000000,9999997631900912,23680990880000000000
BIDR BEP2,BIDR-0E9,0x9A2f5556e9A637e8fBcE886d8e3cf8b316a1D8a2,18,393932357694000000,275877161720985715,87241387160890142850000000000
beefy.finance,BIFI-290,0xCa3F508B8e4Dd382eE878A314789373D80A5190A,18,8000000000000,7977343978084,226560219160000027475
Binance Chain Native Token,BNB,0x0000000000000000000000000000000000000000,18,14893023217301230,2214183628984450,152271559583357268064978565
Bitcoin BEP2,BTCB-1DE,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,18,1380100000000,253348565375,6467514480232427254793
StandardBTCHashrateToken,BTCST-C2E,0x78650B139471520656b9E7aA7A5e9276814a38e9,17,1500000000000000,1499802147071275,197852928725000000000
Bunny Token,BUNNY-2B9,0xC9849E6fdB743d08fAeE3E34dd2D1bc69EA11a51,18,1033679973082197,1033530345415784,1496276664130000000000
Burger Swap,BURGER-33A,0xAe9269f27437f0fcBC232d39Ec814844a51d6b8f,18,1228476953736919,1225549297349995,29276563869240016387644
Binance USD,BUSD-BD1,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,18,7273841053221126,5437540411629162,66624679808638906376006101
BXD Token,BXD-745,0xcae74533e8605a87564982c03f63Ce44177f1277,18,210000000000000000,199500000000000000,105000000000000000000000000
PancakeSwap Token,CAKE-435,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,18,20335488151716902,20307512218025919,279759510654005725488443
CanYaCoin,CAN-677,0x007EA5C0Ea75a8DF45D288a4debdD5bb633F9e56,18,9582700000000000,8010894075620059,15718059243799410000000000
CASHAA,CAS-167,0x780207B8C0Fdc32cF60E957415bFa1f2d4d9718c,18,100000000000000000,91705450435569617,82945495644303830000000000
Cubiex,CBIX-3C9,0x34681C1035F97E1eDcccec5f142e02FF81a3A230,18,15000000000000000,13285616889711720,17143831102882800000000000
CryptoBonusMiles,CBM-4B2,0x61a97C4914C43f8BD98D01a99418E826C80AfAdC,18,500000000000000000,96030960238094486,4039690397619055140000000000
CocosTokenV2,COCOS-CED,0xAb301DaE71f5B386C566f484e636Aee60318F12F,18,500000000000000,497980443988272,20195560117280000000000
CompoundCoin,COMP-DEE,0x52CE071Bd9b1C4B00A0b92D298c512478CaD67e8,18,2000000000000,1259015073906,7409849260940000000000
Contentos,COS-2E4,0x96Dd399F9c3AFda1F194182F71600F1B65946501,18,350047490360000000,114093329933418681,4758211395265813190000000000
CertiK Token,CTK-EB8,0xA8c2B8eec3d368C0253ad3dae65a5F2BBB89c929,6,852798270591300,852735166179800,631044115
DaiBEP2,DAI-D75,0x1AF3F329e8BE154074D8769D1FFa4eE058B1DBc3,18,1900000000000000,1700000615672161,22314206847949865335
DARC Token,DARC-087,0x8ebC361536094fD5B4FFB8521E31900614C9F55D,18,100000000000000000,67654567248952133,323454327510478670000000000
DeFi For You.,DFY-EA0,0xD98560689C6e748DC37bc410B4d3096B1aA3D8C2,18,100000000000000000,99726244473674373,2737555263256270000000000
Dogecoin,DOGE-B67,0xbA2aE424d960c26247Dd6c32edC70B295c744C43,8,155750031400000000,151072743159776029,48927264410381436
DOS Network Token,DOS-120,0xDc0f0a5719c39764b011eDd02811BD228296887C,18,100000000000000000,2126210464333296,978737895356667040000000000
PolkadotBEP2,DOT-64C,0x7083609fCE4d1d8Dc0C979AAb8c869Ea2C873402,18,750000000000000,657006273762806,929937264371940001190651
Elrond,EGLD-745,0xbF7c81FFF98BbE61B40Ed186e4AfD6DDd01337fe,18,60000000000000,59978886627651,211133723490000000000
ELFToken,ELF-D72,0xa3f020a5C92e15be13CAF0Ee5C95cF79585EeCC9,18,250000000000000,156394354009631,1436056459903690000000000
EOS BEP2,EOS-CDD,0x56b6fB708fC5732DEC1Afc8D8556423A2EDcCbD6,18,1159000000000000,944038525192333,1199614748076670009881599
Ellipsis,EPS-458,0xA7f552078dcC247C2684336020c03648500C6d9F,18,36440478183342577,36440432219342577,459640000000000000000
EQUAL,EQL-586,0x5C7e71f46e49Cf816f9863461EEB36e3bc8E3B51,18,67525906000000000,15155338130464773,523705678695352270000000000
Ethereum Classic,ETC-758,0x3d6545b08693daE087E957cb1180ee38B9e3c25E,18,105000000000000,80503626975325,194963730246750000000000
ETH BEP2,ETH-1C9,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,18,18500000000000,15165297498537,53347065585471276713588
Ethereum PoW,ETHW-478,0x302cD8973bE5CA2334B4ff7e7b01BA41455559b3,18,20914200000000,16363923362344,45502766376560000000000
Filecoin,FIL-E2C,0x0D8Ce2A99Bb6e3B7Db580eD848240e4a0F9aE153,18,31000000000000,22379863002732,126201369972680000000000
Refinable,FINE-74B,0x4e6415a5727ea08aAE4580057187923aeC331227,18,50000000000000000,49999986387743379,136122566210022222220
Givly Coin,GIV-94E,0xE49b84771470A87F4D9544685ea0F0517933B2B4,8,40000000000000000,1787023351964356,98212976748035644
Injective Protocol,INJ-FAE,0xa2B726B1145A4773F68593CF171187d8EBe4d495,18,650000000000000,384583160102292,3654168398977080000000000
IoTeXNetwork,IOTX-0ED,0x9678E42ceBEb63F23197D726B29b1CB20d0064E5,18,550000000000000,299959385599079,406144009210000000000
IRIS Network,IRIS-D88,0x05C50a62b0b87bE1fFB1Cf3b77d9eDBa834ef6f7,18,5000000000000000,4492334111114286,5076658888857140000000000
LINKBEP2,LINK-AAD,0xF8A0BF9cF54Bb92F17374d9e9A321E6a111a51bD,18,250000000000000,161223425637861,387765743621390000726978
LTC BEP2,LTC-F07,0x4338665CBB7B2485A8855A139b75D5e34AB0DB94,18,23000000000000,9880054495073,111199485049270000076410
LTO Network,LTO-BDF,0x857B222Fc79e1cBBf8Ca5f78CB133d1b7CF34BBd,18,50000000000000000,1862404170222852,481375958297771480000000000
Measurable Data Token,MDT-14A,0x668DB7aa38eaC6B40c9D13dBE61361DC4c4611d1,18,20000000000000000,19996452455407478,35475445925220000000000
